Time,Time Code,Country Name,Country Code,"Population, total [SP.POP.TOTL]","GDP per capita, PPP (constant 2017 international $) [NY.GDP.PCAP.PP.KD]",CO2 emissions (kt) [EN.ATM.CO2E.KT]
1992,YR1992,Afghanistan,AFG,12057433,..,1390
1992,YR1992,Albania,ALB,3247039,3264.83141265091,2220
1992,YR1992,Algeria,DZA,26748303,8471.5276053104,66840
1992,YR1992,American Samoa,ASM,50078,..,..
1992,YR1992,Andorra,AND,57283,..,410
1992,YR1992,Angola,AGO,12632507,5136.55037903611,6880
1992,YR1992,Antigua and Barbuda,ATG,64659,15452.7824459539,290
1992,YR1992,Argentina,ARG,33568285,16190.510705998,107930
1992,YR1992,Armenia,ARM,3574555,2634.96312448389,10900
1992,YR1992,Aruba,ABW,70192,32986.5418811497,..
1992,YR1992,Australia,AUS,17478635,30285.8538220866,268400
1992,YR1992,Austria,AUT,7840709,38774.4902606316,57660
1992,YR1992,Azerbaijan,AZE,7382050,5690.18091817449,63610
1992,YR1992,"Bahamas, The",BHS,281973,31882.471166941,2570
1992,YR1992,Bahrain,BHR,554470,40971.726502181,12270
1992,YR1992,Bangladesh,BGD,111272102,1818.15076512284,11820
1992,YR1992,Barbados,BRB,260212,12710.4193266718,1180
1992,YR1992,Belarus,BLR,10216470,7923.65035566891,87990
1992,YR1992,Belgium,BEL,10045158,36426.9931547081,112330
1992,YR1992,Belize,BLZ,190299,7663.64842835439,500
1992,YR1992,Benin,BEN,5457778,2129.20121408603,280
1992,YR1992,Bermuda,BMU,58595,64385.4074102651,..
1992,YR1992,Bhutan,BTN,545944,2917.57950850309,120
1992,YR1992,Bolivia,BOL,7394419,4556.99345105859,11150
1992,YR1992,Bosnia and Herzegovina,BIH,4275730,..,15970
1992,YR1992,Botswana,BWA,1420695,9570.54895663913,3300
1992,YR1992,Brazil,BRA,155900790,10103.7879427817,207870
1992,YR1992,British Virgin Islands,VGB,16476,..,..
1992,YR1992,Brunei Darussalam,BRN,277416,71781.1028963074,3590
1992,YR1992,Bulgaria,BGR,8540164,10840.0915744326,55360
1992,YR1992,Burkina Faso,BFA,9598555,1021.14451625888,520
1992,YR1992,Burundi,BDI,5743085,1190.06743509192,180
1992,YR1992,Cabo Verde,CPV,381947,1740.53571739499,110
1992,YR1992,Cambodia,KHM,9718215,..,1350
1992,YR1992,Cameroon,CMR,12128604,3059.79236139903,6850
1992,YR1992,Canada,CAN,28371264,..,426370
1992,YR1992,Cayman Islands,CYM,28677,..,..
1992,YR1992,Central African Republic,CAF,2991727,1049.11941485628,150
1992,YR1992,Chad,TCD,6302926,1113.22169971605,410
1992,YR1992,Channel Islands,CHI,142011,..,..
1992,YR1992,Chile,CHL,13782297,11256.2094833245,30320
1992,YR1992,China,CHN,1164970000,1731.65721549278,2418180
1992,YR1992,Colombia,COL,33939039,8598.99202067966,52510
1992,YR1992,Comoros,COM,452990,2856.00856417072,70
1992,YR1992,"Congo, Dem. Rep.",COD,38332302,1346.74722225667,1480
1992,YR1992,"Congo, Rep.",COG,2520958,4978.35083844666,3130
1992,YR1992,Costa Rica,CRI,3321939,10416.1088472688,4150
1992,YR1992,Cote d'Ivoire,CIV,12838314,3959.5616632319,2770
1992,YR1992,Croatia,HRV,4575818,..,15040
1992,YR1992,Cuba,CUB,10783748,..,21770
1992,YR1992,Curacao,CUW,143912,..,..
1992,YR1992,Cyprus,CYP,810431,26386.578125,5480
1992,YR1992,Czechia,CZE,10319123,20768.7881664466,134140
1992,YR1992,Denmark,DNK,5171370,40108.8919453015,57030
1992,YR1992,Djibouti,DJI,623197,..,300
1992,YR1992,Dominica,DMA,69112,8166.64689151473,80
1992,YR1992,Dominican Republic,DOM,7427340,6688.87043420566,9620
1992,YR1992,Ecuador,ECU,10914222,8279.56827624721,16850
1992,YR1992,"Egypt, Arab Rep.",EGY,59989142,6017.30108272074,90900
1992,YR1992,El Salvador,SLV,5552206,5451.63112275221,3350
1992,YR1992,Equatorial Guinea,GNQ,501334,1159.73862159234,900
1992,YR1992,Eritrea,ERI,1921153,..,440
1992,YR1992,Estonia,EST,1533091,..,23820
1992,YR1992,Eswatini,SWZ,925165,4760.24751474307,580
1992,YR1992,Ethiopia,ETH,52011554,598.922751835545,1520
1992,YR1992,Faroe Islands,FRO,46005,..,..
1992,YR1992,Fiji,FJI,786859,8078.59011542495,720
1992,YR1992,Finland,FIN,5041992,29648.7439434243,52280
1992,YR1992,France,FRA,58849943,34269.2834434525,368590
1992,YR1992,French Polynesia,PYF,219621,..,..
1992,YR1992,Gabon,GAB,1037446,17109.4015608026,4530
1992,YR1992,"Gambia, The",GMB,1127152,2047.02755975861,200
1992,YR1992,Georgia,GEO,4873500,4769.99652400785,20070
1992,YR1992,Germany,DEU,80624598,38734.9384083447,892820
1992,YR1992,Ghana,GHA,16241548,2391.98674931802,3080
1992,YR1992,Gibraltar,GIB,26945,..,..
1992,YR1992,Greece,GRC,10399061,24700.1305911615,78180
1992,YR1992,Greenland,GRL,55300,..,..
1992,YR1992,Grenada,GRD,101040,8446.7369175827,170
1992,YR1992,Guam,GUM,143173,..,..
1992,YR1992,Guatemala,GTM,9544055,5730.64595343889,4830
1992,YR1992,Guinea,GIN,6832195,1485.42135543375,1050
1992,YR1992,Guinea-Bissau,GNB,1022904,2020.74183698318,180
1992,YR1992,Guyana,GUY,744998,5522.38455233113,1080
1992,YR1992,Haiti,HTI,7205780,3336.83647264565,900
1992,YR1992,Honduras,HND,5344774,3793.71111916006,2730
1992,YR1992,"Hong Kong SAR, China",HKG,5800500,31802.4441269625,..
1992,YR1992,Hungary,HUN,10369341,15932.4996239844,58000
1992,YR1992,Iceland,ISL,261057,..,1940
1992,YR1992,India,IND,907574049,1859.71485077115,626290
1992,YR1992,Indonesia,IDN,188558416,4965.1336102875,171510
1992,YR1992,"Iran, Islamic Rep.",IRN,59372016,10331.3291969548,233650
1992,YR1992,Iraq,IRQ,18385673,3410.74050793459,67340
1992,YR1992,Ireland,IRL,3558430,27780.2292534741,31510
1992,YR1992,Isle of Man,IMN,70307,..,..
1992,YR1992,Israel,ISR,5123000,..,36860
1992,YR1992,Italy,ITA,56797087,37407.1113238593,402270
1992,YR1992,Jamaica,JAM,2434574,9128.91176945706,8150
1992,YR1992,Japan,JPN,124425000,34048.7845542093,1115060
1992,YR1992,Jordan,JOR,3866887,8500.02578814596,11930
1992,YR1992,Kazakhstan,KAZ,16439095,11294.7365777633,253840
1992,YR1992,Kenya,KEN,24655723,3455.49133713816,5950
1992,YR1992,Kiribati,KIR,77901,1989.6297412334,20
1992,YR1992,"Korea, Dem. People's Rep.",PRK,21439991,..,104690
1992,YR1992,"Korea, Rep.",KOR,43747962,14590.5330031829,297050
1992,YR1992,Kosovo,XKX,1932000,..,..
1992,YR1992,Kuwait,KWT,1620633,41446.9637511501,23050
1992,YR1992,Kyrgyz Republic,KGZ,4515400,3978.90991431132,13800
1992,YR1992,Lao PDR,LAO,4561106,2019.39134480369,600
1992,YR1992,Latvia,LVA,2614338,..,13970
1992,YR1992,Lebanon,LBN,3745407,9788.92321671508,7020
1992,YR1992,Lesotho,LSO,1858507,1401.93210081589,350
1992,YR1992,Liberia,LBR,2052626,..,400
1992,YR1992,Libya,LBY,4444820,..,26340
1992,YR1992,Liechtenstein,LIE,29581,..,210
1992,YR1992,Lithuania,LTU,3700114,..,19980
1992,YR1992,Luxembourg,LUX,392175,76323.3047532824,11440
1992,YR1992,"Macao SAR, China",MAC,372370,52889.1710611178,..
1992,YR1992,Madagascar,MDG,12623342,1614.09341961532,960
1992,YR1992,Malawi,MWI,10115420,892.425227427108,630
1992,YR1992,Malaysia,MYS,18526708,11963.2676704259,67170
1992,YR1992,Maldives,MDV,239136,..,230
1992,YR1992,Mali,MLI,9310572,1388.73085237522,10
1992,YR1992,Malta,MLT,367618,17284.4483657815,2170
1992,YR1992,Marshall Islands,MHL,48015,3523.67987861926,80
1992,YR1992,Mauritania,MRT,2147527,4467.27563822921,1010
1992,YR1992,Mauritius,MUS,1084441,8942.38329008363,1320
1992,YR1992,Mexico,MEX,84993164,15931.4828867171,291680
1992,YR1992,"Micronesia, Fed. Sts.",FSM,102893,3132.25799069191,110
1992,YR1992,Moldova,MDA,2975621,..,20320
1992,YR1992,Monaco,MCO,30794,..,..
1992,YR1992,Mongolia,MNG,2236494,4027.77797853696,12860
1992,YR1992,Montenegro,MNE,608516,..,1480
1992,YR1992,Morocco,MAR,25400676,3649.87182617188,24880
1992,YR1992,Mozambique,MOZ,13816881,436.376415633059,1100
1992,YR1992,Myanmar,MMR,41237813,597.202183388265,4280
1992,YR1992,Namibia,NAM,1461687,6758.10270623216,1220
1992,YR1992,Nauru,NRU,10129,..,120
1992,YR1992,Nepal,NPL,20702133,1631.23071537753,1230
1992,YR1992,Netherlands,NLD,15184166,37405.9299673421,153250
1992,YR1992,New Caledonia,NCL,179799,..,..
1992,YR1992,New Zealand,NZL,3531700,26427.3534888591,24380
1992,YR1992,Nicaragua,NIC,4427172,3262.62955159694,2240
1992,YR1992,Niger,NER,8907644,1028.65516359773,500
1992,YR1992,Nigeria,NGA,100182045,3253.03391971921,91810
1992,YR1992,North Macedonia,MKD,2018023,9867.36803375276,8540
1992,YR1992,Northern Mariana Islands,MNP,48128,..,..
1992,YR1992,Norway,NOR,4286401,44517.4357160017,30200
1992,YR1992,Oman,OMN,1985227,31842.5573571713,14920
1992,YR1992,Pakistan,PAK,122375179,3267.2906884217,66980
1992,YR1992,Palau,PLW,16004,..,200
1992,YR1992,Panama,PAN,2554382,12284.064327353,3640
1992,YR1992,Papua New Guinea,PNG,4136644,3387.85927306644,2180
1992,YR1992,Paraguay,PRY,4277051,8808.78439049477,2470
1992,YR1992,Peru,PER,23047248,5110.73742048642,21030
1992,YR1992,Philippines,PHL,64543525,4035.92811043223,44020
1992,YR1992,Poland,POL,38363667,10662.0805170735,343370
1992,YR1992,Portugal,PRT,9952494,24930.4506344601,46770
1992,YR1992,Puerto Rico,PRI,3585176,22791.5706479761,..
1992,YR1992,Qatar,QAT,471293,..,14680
1992,YR1992,Romania,ROU,22794284,10816.9337179519,126190
1992,YR1992,Russian Federation,RUS,148538197,17367.640625,2030810
1992,YR1992,Rwanda,RWA,7657208,920.206399188057,500
1992,YR1992,Samoa,WSM,169799,3530.79710138423,100
1992,YR1992,San Marino,SMR,23808,..,..
1992,YR1992,Sao Tome and Principe,STP,125648,..,40
